,Name,A1,A1 max,A2,A2 max,A3,A3 max,Midterm,Midterm max,Password
0,Tony,94,100,45,50,19,20,89,100,T
1,Natasha,81,100,31,50,14,20,77,100,N
2,Bruce,95,100,36,50,18,20,89,100,B
3,ritul,0,0,0,0,0,0,0,0,H4JYH
4,ronaldo,0,0,0,0,0,0,0,0,VG9PT
5,messi,0,0,0,0,0,0,0,0,CFY0J
6,pogba,0,0,0,0,0,0,0,0,B3RL9
7,neymar,0,0,0,0,0,0,0,0,KP3TW
8,salah,0,0,0,0,0,0,0,0,HK6LT
9,lindan@ashoka.edu.in,0,0,0,0,0,0,0,0,MDNU9
10,Not a valid ashoka id,0,0,0,0,0,0,0,0,HCX3O
11,leechongwei@ashoka.edu.in,0,0,0,0,0,0,0,0,0YSC0
